Customer ID,sum(Sales)
SM-20320,25043.05
TC-20980,19017.847999999998
RB-19360,15117.339
TA-21385,14595.62
AB-10105,14355.610999999997
SC-20095,14142.333999999999
KL-16645,14071.917
HL-15040,12873.297999999999
SE-20110,12209.438000000002
CC-12370,12129.072
TS-21370,11885.871
GT-14710,11820.119999999997
BM-11140,11609.900000000001
SV-20365,11420.645999999997
CJ-12010,11079.742
CL-12565,10880.545999999998
ME-17320,10635.917999999998
KF-16285,10604.266
BS-11365,10501.652999999998
EH-13765,10005.980000000001
JL-15835,9403.003
GT-14635,9351.211999999998
HW-14935,9300.253999999997
TB-21400,9012.741999999998
PF-19120,8980.496
CM-12385,8954.02
JD-16150,8828.030499999999
JE-15715,8672.163
LA-16780,8631.521999999999
DR-12940,8350.868
NF-18385,8322.826000000001
KD-16270,8282.358
NC-18535,8241.739
KD-16495,8181.256
PK-19075,8158.654
HM-14860,8148.844800000002
SB-20290,8057.890999999999
ZC-21910,8021.135000000001
JH-15985,7954.998
NP-18700,7903.182500000001
AH-10690,7888.294000000001
JE-15610,7754.976
AB-10060,7732.669999999999
JW-15220,7721.714
JM-15865,7625.076000000002
RW-19540,7397.401000000001
LC-16885,7396.7739999999985
PO-18850,7367.3342
BM-11650,7283.817
NW-18400,7234.013999999999
Dp-13240,7198.760999999999
PP-18955,7075.920000000002
RH-19510,6962.14
MS-17365,6848.31
PS-19045,6843.633999999999
BB-11545,6765.727999999999
FH-14365,6683.659999999999
YS-21880,6654.503999999999
AR-10540,6608.448
GK-14620,6497.27
JA-15970,6475.474000000001
NM-18445,6459.343999999999
JD-15895,6456.456
SB-20185,6410.995999999999
JE-15745,6400.454999999999
JG-15160,6366.391999999999
CM-12655,6339.5576
VD-21670,6283.354
MJ-17740,6282.226
BH-11710,6255.351000000001
DM-13015,6247.372
DR-12880,6247.205999999999
RL-19615,6234.909999999999
VW-21775,6112.702
QJ-19255,6108.338
AD-10180,6100.999999999999
GM-14695,6049.966000000002
CB-12025,6028.226999999999
WB-21850,6024.81
RM-19675,5967.736
KH-16510,5952.859000000002
SD-20485,5920.258
BF-11170,5907.972
SC-20380,5894.183999999999
CP-12340,5888.275000000001
KH-16690,5867.859
CS-12505,5690.054999999999
BD-11320,5672.171
AM-10705,5653.861999999999
RB-19795,5633.315999999999
KM-16375,5609.746
AA-10315,5563.56
SM-20950,5563.392
NP-18325,5529.62
AC-10450,5527.8460000000005
MH-18115,5503.092999999999
DP-13390,5480.723999999999
EP-13915,5478.0608
YC-21895,5454.35
SP-20620,5440.319
LW-17215,5420.513999999999
TS-21205,5371.09
TT-21460,5364.808000000001
MW-18220,5341.9
TP-21415,5329.0048
DW-13480,5256.848
MW-18235,5253.876
HR-14830,5248.786999999999
SC-20725,5226.209999999998
TW-21025,5164.626
CP-12085,5164.101999999999
LR-16915,5142.891999999999
RP-19390,5142.139999999999
MP-18175,5087.92
IL-15100,5040.736
LB-16795,4985.676
DH-13075,4932.871999999999
IM-15070,4930.473999999999
TT-21070,4915.602
KM-16720,4909.472000000001
PO-19180,4893.043000000001
HK-14890,4877.784
AJ-10780,4867.344
AH-10210,4805.344
RA-19915,4781.367000000001
JK-15730,4769.900000000001
JK-15640,4752.442000000001
BW-11110,4750.357999999999
TB-21520,4730.628
SA-20830,4708.525500000001
ES-14080,4648.516
KT-16480,4642.088400000001
SC-20050,4624.572000000001
DB-13270,4621.656999999999
GB-14575,4594.328
RB-19465,4556.566000000002
AR-10825,4523.335999999999
AG-10900,4510.7970000000005
SC-20770,4492.656999999999
KL-16555,4483.784
LC-16930,4481.162
AA-10645,4455.895
TP-21130,4454.056
EM-14140,4438.331999999999
MC-17425,4432.138
KW-16435,4416.52
BD-11500,4408.2970000000005
AJ-10795,4391.491
AI-10855,4375.785999999999
SC-20230,4371.9580000000005
GZ-14470,4355.15
SR-20740,4345.8859999999995
EB-13840,4344.508
ND-18370,4281.389
MA-17560,4280.620999999999
JK-15205,4278.17
DB-13060,4265.294000000002
TC-21295,4261.852
AS-10225,4249.0
TH-21550,4229.5560000000005
BE-11335,4204.6759999999995
JF-15565,4198.332
FH-14275,4190.704
MY-18295,4134.396000000001
DK-13225,4125.843999999999
CB-12535,4123.5154999999995
PM-19135,4115.662
SV-20785,4105.305
DM-13345,4074.4720000000007
FP-14320,4046.7460000000005
SP-20860,4028.588
SP-20920,3990.6890000000003
CM-12715,3984.4524
MP-17965,3983.6420000000003
SC-20305,3971.0639999999994
DK-12895,3943.0399999999995
LF-17185,3930.509
GH-14425,3925.742
GA-14515,3919.7760000000003
KH-16630,3918.966
DB-13555,3908.8028
KC-16540,3908.2619999999997
CC-12220,3902.522
NP-18670,3896.6420000000003
PW-19240,3878.3149999999996
JS-15880,3868.02
FC-14335,3865.845999999999
RA-19885,3832.3139999999994
RS-19765,3831.93
AT-10735,3831.8640000000005
OT-18730,3818.6240000000003
RO-19780,3815.478
MC-17845,3805.714000000001
MM-17920,3794.08
CA-11965,3789.7228
MG-17650,3785.276
SJ-20125,3777.8799999999997
MD-17350,3766.382
JK-15625,3760.028
JK-16090,3747.6680000000006
RD-19480,3743.03
FM-14290,3736.1979999999994
SC-20260,3729.7929999999997
HG-15025,3690.284
LP-17095,3653.3990000000003
CS-12400,3651.8585000000007
RH-19495,3621.3759999999997
BP-11185,3610.2929999999997
SZ-20035,3592.433
GM-14440,3582.8199999999997
TB-21175,3579.024
JP-15520,3572.9440000000004
DL-13495,3539.322
ES-14020,3510.4579999999996
RW-19690,3495.646
AG-10675,3489.0395999999996
ED-13885,3484.92
PW-19030,3454.916
EB-13705,3448.2740000000003
SF-20200,3422.785999999999
FC-14245,3414.678
SG-20080,3406.581
BS-11380,3379.1299999999997
TS-21655,3368.093999999999
SC-20020,3362.9635999999996
DJ-13630,3356.3979999999997
DC-12850,3336.1680000000006
AP-10915,3323.556
DK-13375,3318.4859999999994
KH-16330,3312.864
RF-19345,3309.1500000000005
SF-20965,3306.871
RR-19525,3302.262
BD-11605,3288.471
BS-11665,3288.11
DV-13465,3285.9870000000005
RW-19630,3273.6499999999996
DL-12925,3272.2000000000003
AS-10090,3255.3099999999995
JO-15145,3254.9490000000005
DK-12835,3253.5340000000006
AH-10075,3250.336999999999
LC-16960,3246.626
CT-11995,3241.898000000001
SR-20425,3233.481
LW-16990,3230.308
RS-19420,3221.29
AS-10285,3212.272
MP-17470,3206.132
CS-12355,3202.1620000000003
BT-11680,3196.7520000000004
DG-13300,3195.818
VP-21760,3193.6059999999998
HG-14965,3184.1739999999995
EB-13750,3166.882
GM-14680,3163.628
CK-12205,3154.855
KB-16240,3152.615
JM-15250,3145.3740000000003
JL-15505,3142.746
MS-17770,3138.5819999999994
RD-19900,3133.9239999999995
TN-21040,3130.221
SN-20710,3127.9592000000007
SG-20605,3116.9760000000006
KH-16360,3100.6119999999996
PG-18820,3086.907
GM-14455,3078.6240000000003
EB-14110,3071.1259999999997
TG-21310,3058.3720000000003
KT-16465,3057.1
SS-20410,3056.807
SL-20155,3053.012000000001
CA-12775,3041.5659999999993
AS-10045,3035.0320000000006
CS-11950,3027.7549999999997
EH-14125,3013.1530000000002
LS-16975,2988.674
MH-18025,2984.9480000000003
FA-14230,2984.053999999999
NS-18640,2964.8229999999994
TM-21010,2953.986
TH-21115,2942.772
CK-12325,2939.606
LT-17110,2936.2519999999995
BC-11125,2933.6759999999995
JK-16120,2932.4840000000004
DB-13120,2931.718
SW-20455,2921.544
ML-17410,2921.499999999999
RD-19585,2912.8940000000002
CY-12745,2900.026
ND-18460,2893.455
MG-18145,2890.591
MT-17815,2890.139
DS-13180,2881.8128
PV-18985,2876.0460000000003
CC-12430,2870.0500000000006
BF-11020,2865.786
CC-12685,2854.1150000000007
AW-10930,2851.4440000000004
IM-15055,2848.36
LS-16945,2845.27
